Zone,date,hour,temperature_f,precipitation_inches,snowfall_inches,weather_status
Newark Airport,2026-01-01,0,30.0,0.0,0.0,Overcast
Newark Airport,2026-01-01,1,30.4,0.004,0.028,Slight Snowfall
Newark Airport,2026-01-01,2,31.1,0.004,0.028,Slight Snowfall
Newark Airport,2026-01-01,3,31.6,0.0,0.0,Overcast
Newark Airport,2026-01-01,4,32.7,0.0,0.0,Overcast
Newark Airport,2026-01-01,5,33.1,0.0,0.0,Overcast
Newark Airport,2026-01-01,6,32.8,0.0,0.0,Overcast
Newark Airport,2026-01-01,7,32.1,0.031,0.22,Moderate Snowfall
Newark Airport,2026-01-01,8,27.3,0.028,0.193,Moderate Snowfall
Newark Airport,2026-01-01,9,24.5,0.0,0.0,Sunny
Newark Airport,2026-01-01,10,22.5,0.0,0.0,Sunny
Newark Airport,2026-01-01,11,21.7,0.0,0.0,Sunny
Newark Airport,2026-01-01,12,22.1,0.0,0.0,Sunny
Newark Airport,2026-01-01,13,22.7,0.0,0.0,Sunny
Newark Airport,2026-01-01,14,25.5,0.0,0.0,Mainly Clear
Newark Airport,2026-01-01,15,24.4,0.0,0.0,Partly Cloudy
Newark Airport,2026-01-01,16,24.3,0.0,0.0,Sunny
Newark Airport,2026-01-01,17,23.1,0.0,0.0,Mainly Clear
Newark Airport,2026-01-01,18,21.6,0.0,0.0,Sunny
Newark Airport,2026-01-01,19,20.4,0.0,0.0,Sunny
Newark Airport,2026-01-01,20,20.6,0.0,0.0,Sunny
Newark Airport,2026-01-01,21,20.8,0.0,0.0,Sunny
Newark Airport,2026-01-01,22,20.0,0.0,0.0,Sunny
Newark Airport,2026-01-01,23,19.4,0.0,0.0,Overcast
Newark Airport,2026-01-02,0,19.5,0.0,0.0,Overcast
Newark Airport,2026-01-02,1,20.5,0.0,0.0,Overcast
Newark Airport,2026-01-02,2,20.6,0.004,0.028,Slight Snowfall
Newark Airport,2026-01-02,3,20.2,0.004,0.028,Slight Snowfall
Newark Airport,2026-01-02,4,20.2,0.004,0.028,Slight Snowfall
Newark Airport,2026-01-02,5,19.9,0.0,0.0,Overcast
Newark Airport,2026-01-02,6,20.1,0.0,0.0,Overcast
Newark Airport,2026-01-02,7,19.9,0.0,0.0,Overcast
Newark Airport,2026-01-02,8,20.7,0.0,0.0,Mainly Clear
Newark Airport,2026-01-02,9,19.6,0.0,0.0,Mainly Clear
Newark Airport,2026-01-02,10,21.3,0.0,0.0,Mainly Clear
Newark Airport,2026-01-02,11,23.2,0.0,0.0,Mainly Clear
Newark Airport,2026-01-02,12,25.2,0.0,0.0,Overcast
Newark Airport,2026-01-02,13,27.0,0.0,0.0,Overcast
Newark Airport,2026-01-02,14,29.0,0.0,0.0,Overcast
Newark Airport,2026-01-02,15,28.3,0.0,0.0,Overcast
Newark Airport,2026-01-02,16,28.6,0.0,0.0,Overcast
Newark Airport,2026-01-02,17,28.1,0.0,0.0,Overcast
Newark Airport,2026-01-02,18,27.4,0.0,0.0,Mainly Clear
Newark Airport,2026-01-02,19,25.7,0.0,0.0,Overcast
Newark Airport,2026-01-02,20,26.7,0.0,0.0,Overcast
Newark Airport,2026-01-02,21,27.0,0.0,0.0,Overcast
Newark Airport,2026-01-02,22,26.8,0.0,0.0,Overcast
Newark Airport,2026-01-02,23,25.7,0.0,0.0,Overcast
Newark Airport,2026-01-03,0,25.2,0.0,0.0,Overcast
Newark Airport,2026-01-03,1,23.9,0.0,0.0,Sunny
Newark Airport,2026-01-03,2,22.9,0.0,0.0,Sunny
Newark Airport,2026-01-03,3,22.8,0.0,0.0,Sunny
Newark Airport,2026-01-03,4,22.0,0.0,0.0,Sunny
Newark Airport,2026-01-03,5,21.4,0.0,0.0,Mainly Clear
Newark Airport,2026-01-03,6,20.6,0.0,0.0,Partly Cloudy
Newark Airport,2026-01-03,7,20.0,0.0,0.0,Partly Cloudy
Newark Airport,2026-01-03,8,20.4,0.0,0.0,Overcast
Newark Airport,2026-01-03,9,21.0,0.0,0.0,Mainly Clear
Newark Airport,2026-01-03,10,23.1,0.0,0.0,Overcast
Newark Airport,2026-01-03,11,25.5,0.0,0.0,Overcast
Newark Airport,2026-01-03,12,27.7,0.0,0.0,Overcast
Newark Airport,2026-01-03,13,29.0,0.0,0.0,Overcast
Newark Airport,2026-01-03,14,28.6,0.0,0.0,Overcast
Newark Airport,2026-01-03,15,29.8,0.0,0.0,Overcast
Newark Airport,2026-01-03,16,30.6,0.0,0.0,Overcast
Newark Airport,2026-01-03,17,30.4,0.0,0.0,Overcast
Newark Airport,2026-01-03,18,29.4,0.0,0.0,Overcast
Newark Airport,2026-01-03,19,28.9,0.0,0.0,Overcast
Newark Airport,2026-01-03,20,28.7,0.0,0.0,Overcast
Newark Airport,2026-01-03,21,28.3,0.0,0.0,Overcast
Newark Airport,2026-01-03,22,28.0,0.0,0.0,Overcast
Newark Airport,2026-01-03,23,27.5,0.0,0.0,Mainly Clear
Newark Airport,2026-01-04,0,25.7,0.0,0.0,Mainly Clear
Newark Airport,2026-01-04,1,25.3,0.0,0.0,Overcast
Newark Airport,2026-01-04,2,26.8,0.0,0.0,Overcast
Newark Airport,2026-01-04,3,26.7,0.0,0.0,Overcast
Newark Airport,2026-01-04,4,26.4,0.0,0.0,Overcast
Newark Airport,2026-01-04,5,26.5,0.0,0.0,Overcast
Newark Airport,2026-01-04,6,25.8,0.004,0.028,Slight Snowfall
Newark Airport,2026-01-04,7,25.5,0.004,0.028,Slight Snowfall
Newark Airport,2026-01-04,8,25.3,0.0,0.0,Overcast
Newark Airport,2026-01-04,9,24.4,0.004,0.028,Slight Snowfall
Newark Airport,2026-01-04,10,26.1,0.0,0.0,Mainly Clear
Newark Airport,2026-01-04,11,27.9,0.0,0.0,Sunny
Newark Airport,2026-01-04,12,29.5,0.0,0.0,Partly Cloudy
Newark Airport,2026-01-04,13,30.8,0.0,0.0,Mainly Clear
Newark Airport,2026-01-04,14,32.8,0.0,0.0,Partly Cloudy
Newark Airport,2026-01-04,15,33.6,0.0,0.0,Partly Cloudy
Newark Airport,2026-01-04,16,33.3,0.0,0.0,Partly Cloudy
Newark Airport,2026-01-04,17,31.8,0.0,0.0,Partly Cloudy
Newark Airport,2026-01-04,18,29.4,0.0,0.0,Overcast
Newark Airport,2026-01-04,19,28.4,0.0,0.0,Sunny
Newark Airport,2026-01-04,20,27.5,0.0,0.0,Overcast
Newark Airport,2026-01-04,21,28.6,0.0,0.0,Partly Cloudy
Newark Airport,2026-01-04,22,29.3,0.0,0.0,Mainly Clear
Newark Airport,2026-01-04,23,28.8,0.0,0.0,Overcast
Newark Airport,2026-01-05,0,28.7,0.0,0.0,Sunny
Newark Airport,2026-01-05,1,27.8,0.0,0.0,Sunny
Newark Airport,2026-01-05,2,27.0,0.0,0.0,Sunny
Newark Airport,2026-01-05,3,26.6,0.0,0.0,Partly Cloudy
Newark Airport,2026-01-05,4,26.1,0.0,0.0,Mainly Clear
Newark Airport,2026-01-05,5,25.4,0.0,0.0,Sunny
Newark Airport,2026-01-05,6,24.6,0.0,0.0,Sunny
Newark Airport,2026-01-05,7,23.1,0.0,0.0,Overcast
